0,1,2,3,4,5,6,7,8,9,10,11
1681714800000,29901.27000000,29940.00000000,29832.00000000,29838.30000000,1806.36891000,1681718399999,53998409.72555210,47077,958.38123000,28649271.32018940,0
1681718400000,29838.30000000,29919.15000000,29801.00000000,29918.10000000,2260.63657000,1681721999999,67520247.10940840,40872,1134.09246000,33875590.98176560,0
1681722000000,29918.10000000,29922.50000000,29845.95000000,29876.97000000,1158.48993000,1681725599999,34628347.40317120,31772,539.07279000,16113524.19379300,0
1681725600000,29876.96000000,29888.88000000,29764.28000000,29884.66000000,3250.22082000,1681729199999,97024695.00619550,43332,1569.89268000,46866789.74507340,0
1681729200000,29884.67000000,29889.16000000,29366.00000000,29570.81000000,5288.59201000,1681732799999,156592465.64811110,99925,2355.92854000,69748075.64697820,0
1681732800000,29570.80000000,29593.14000000,29442.91000000,29529.85000000,4140.82100000,1681736399999,122223577.58267660,60392,1838.26940000,54257226.76727030,0
1681736400000,29529.86000000,29536.51000000,29250.00000000,29402.20000000,4553.82473000,1681739999999,133927336.61679560,86060,2134.26791000,62777181.33519390,0
1681740000000,29402.20000000,29481.96000000,29356.75000000,29440.42000000,2451.69041000,1681743599999,72133566.30533900,52830,1320.74935000,38859527.48122560,0
1681743600000,29440.41000000,29464.06000000,29240.65000000,29358.31000000,2604.12600000,1681747199999,76445609.40902790,59342,1247.54112000,36620474.27465930,0
1681747200000,29358.30000000,29480.00000000,29330.85000000,29464.43000000,2816.77871000,1681750799999,82840182.01790830,51548,1660.73975000,48843181.50408730,0
1681750800000,29464.42000000,29527.26000000,29447.63000000,29462.67000000,1471.32240000,1681754399999,43384595.42067040,38064,688.98160000,20315365.82043360,0
1681754400000,29462.67000000,29572.00000000,29458.09000000,29524.97000000,1269.23421000,1681757999999,37451031.95687780,29412,645.94280000,19059010.49591440,0
1681758000000,29524.96000000,29580.17000000,29458.00000000,29467.24000000,1755.32231000,1681761599999,51804839.75736800,35411,826.33462000,24388172.55336130,0
1681761600000,29467.25000000,29492.80000000,29421.11000000,29443.75000000,1261.16452000,1681765199999,37147229.28499560,27451,508.85403000,14990021.14425490,0
1681765200000,29443.75000000,29471.97000000,29391.92000000,29452.22000000,1280.13898000,1681768799999,37691441.22837480,28025,619.16510000,18232408.05060060,0
1681768800000,29452.22000000,29536.93000000,29452.21000000,29502.28000000,1235.66661000,1681772399999,36442428.23449720,23107,726.64145000,21428555.04268460,0
1681772400000,29502.28000000,29510.60000000,29396.88000000,29430.27000000,965.67011000,1681775999999,28445203.73489440,22841,326.72197000,9623253.66549820,0
1681776000000,29430.27000000,29450.29000000,29280.01000000,29364.16000000,1357.21158000,1681779599999,39863689.01093760,37902,657.02328000,19298949.52671280,0
1681779600000,29364.16000000,29414.28000000,29096.78000000,29373.53000000,3579.77139000,1681783199999,104738401.95658390,67962,1803.69984000,52781885.34960470,0
1681783200000,29373.53000000,29489.47000000,29373.52000000,29465.84000000,1471.03294000,1681786799999,43299418.52818530,29118,866.07060000,25489998.58510830,0
1681786800000,29465.83000000,29500.00000000,29442.54000000,29446.99000000,932.02903000,1681790399999,27463499.06630750,20276,532.12442000,15679812.72237350,0
1681790400000,29447.00000000,29506.76000000,29442.56000000,29494.69000000,881.61660000,1681793999999,25986921.00950610,18205,471.10021000,13886206.02514250,0
1681794000000,29494.70000000,29593.39000000,29494.69000000,29542.14000000,2113.51105000,1681797599999,62439866.30358020,34773,1030.46256000,30441816.22701410,0
1681797600000,29542.15000000,29740.00000000,29542.14000000,29720.98000000,2778.52413000,1681801199999,82435576.17879210,50251,1671.62874000,49589963.58399870,0
1681801200000,29720.98000000,29803.00000000,29672.87000000,29775.62000000,2229.71009000,1681804799999,66305017.29417480,42559,1265.15109000,37624380.48305700,0
1681804800000,29775.61000000,29831.00000000,29693.10000000,29703.89000000,1858.73511000,1681808399999,55292110.80459530,39596,869.26281000,25860426.72774870,0
1681808400000,29703.89000000,29939.99000000,29700.00000000,29897.68000000,2742.65157000,1681811999999,81795849.90813700,50272,1591.41717000,47458851.18182130,0
1681812000000,29897.69000000,29971.71000000,29868.03000000,29899.26000000,2365.16801000,1681815599999,70731155.80492580,36987,1186.85583000,35493886.49426000,0
1681815600000,29899.26000000,30381.68000000,29888.90000000,30380.59000000,6974.54325000,1681819199999,210364600.41618140,105402,4065.19013000,122574007.15843730,0
1681819200000,30380.59000000,30485.00000000,30279.80000000,30303.14000000,6137.65968000,1681822799999,186519309.57861340,91472,3108.77561000,94471097.41357650,0
1681822800000,30303.14000000,30433.18000000,30282.63000000,30381.31000000,3427.75420000,1681826399999,104048718.72622100,59216,1706.61122000,51801114.44160220,0
1681826400000,30381.32000000,30390.96000000,30118.41000000,30247.81000000,3658.98151000,1681829999999,110662732.46160260,66559,1736.68921000,52520395.68079260,0
